Race,Working Hours,Education,Marital Status,Occupation,Industry,IsBusinessOwner,livesInCity,Medical Condition,Age,Job Begin Year,Sex
3,55,44,1,430,6890,1,1,0,39,2014,2
1,36,42,1,3320,8190,1,1,0,41,2007,1
1,36,42,1,3320,8190,1,1,0,34,2001,2
1,40,37,4,8740,4770,1,1,0,58,1999,2
1,10,42,1,5120,7390,2,2,3,46,2008,2
1,69,44,1,710,7390,2,2,0,46,2009,1
1,40,43,6,3300,8190,1,0,0,58,1999,2
1,45,43,6,430,1070,1,0,0,33,2013,2
1,48,39,6,5610,5380,1,0,0,36,2014,1
1,40,43,1,3300,8190,1,1,0,53,1991,2
1,1,43,1,3300,8190,1,1,0,49,1988,1
1,40,42,1,1410,3170,1,0,0,63,2007,1
1,50,43,1,300,3580,1,0,0,53,1999,2
1,20,39,4,4220,9070,1,0,10,67,1998,1
1,25,41,4,2000,7860,1,0,0,64,2013,2
1,40,43,1,5120,7280,1,1,0,59,2007,2
1,45,39,1,7010,3570,1,1,10,59,2009,1
1,30,39,1,5160,6870,1,1,0,24,2014,2
1,0,39,1,7560,490,1,1,0,22,2012,1
1,55,43,4,9120,6290,2,1,0,51,2001,1
1,8,41,6,4720,5070,1,1,19,49,2009,2
1,56,43,6,9130,4870,1,1,0,25,2013,1
1,55,43,1,2320,7860,1,1,0,51,1991,2
1,50,39,1,9130,4870,1,1,3,52,2007,1
1,40,43,1,230,6770,1,1,0,56,1999,2
1,32,43,1,726,8370,1,0,0,42,2010,2
1,55,45,1,2100,9470,1,0,0,41,2010,1
1,69,40,1,6050,170,2,2,0,81,1980,1
1,40,41,1,7010,5480,1,1,0,45,2010,1
1,38,42,1,4700,5580,2,1,0,52,1989,2
4,40,43,1,4700,5580,2,1,0,56,2009,1
2,40,36,1,4230,7690,1,1,0,78,2013,2
1,40,39,3,5700,7860,1,1,0,73,2013,2
1,69,43,6,710,6990,1,1,0,45,1990,2
1,5,43,1,4420,6570,1,1,0,71,2006,2
1,40,43,1,2320,7860,1,2,0,43,2014,1
1,3,44,6,6050,180,2,2,0,80,1992,2
1,8,39,1,5550,6370,1,2,0,35,2013,2
1,40,35,1,6050,170,1,2,0,48,2011,1
1,45,44,6,430,1070,1,0,0,29,2013,2
1,40,43,4,425,9490,1,0,0,47,1998,1
1,26,37,1,4700,4970,1,2,0,51,2004,2
2,50,39,1,8740,2790,1,2,0,53,2004,1
1,30,37,3,5220,9370,1,2,0,61,2014,2
3,40,46,1,1610,7460,1,2,0,49,2002,1
3,40,43,1,1965,7460,1,2,0,48,2013,2
3,10,41,6,1030,7870,1,2,0,20,2012,2
1,40,42,6,4230,8660,1,1,0,47,2014,2
1,32,41,6,4760,5180,1,1,36,27,2014,2
1,36,39,1,9415,6180,1,1,0,62,2013,2
1,40,39,1,9120,6180,1,1,0,63,2009,1
1,60,39,3,4600,8470,2,2,0,67,1984,2
1,50,40,1,4600,8470,2,2,0,42,2012,2
1,50,40,1,9620,3180,1,2,0,47,1997,1
1,20,37,6,4610,8370,1,2,0,18,2014,2
1,50,39,4,6240,770,1,1,0,43,2005,1
1,12,43,4,4600,7860,1,1,0,63,2014,2
1,40,39,1,430,6370,1,1,0,61,2013,2
1,30,39,1,430,770,2,1,0,68,1980,1
1,40,40,1,4020,8680,1,1,0,41,2010,1
1,34,43,1,5860,6970,1,1,0,49,2012,2
1,69,43,1,710,7390,2,1,0,48,2009,1
1,38,42,6,3320,8190,1,2,0,41,2004,2
4,11,39,4,4610,8170,1,2,0,32,2006,2
1,40,39,6,9600,1180,1,2,0,40,2014,1
