,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
1352,53-7000,material moving workers,minor,"4,731,550",0.5,14.58,"30,320",0.2,9.39,10.72,13.13,17.16,22.27,"19,530","22,300","27,320","35,690","46,310",,
1353,53-7010,conveyor operators and tenders,broad,"26,570",3.4,16.58,"34,480",0.9,11.02,13.04,15.53,19.18,24.2,"22,930","27,130","32,300","39,890","50,340",,
1355,53-7020,crane and tower operators,broad,"43,660",2.8,26.78,"55,690",1,14.86,18.67,25.1,32.77,40.53,"30,910","38,840","52,200","68,160","84,290",,
1357,53-7030,"dredge, excavating, and loading machine operators",broad,"49,190",2.4,22.6,"47,010",0.8,13.72,16.66,20.65,26.78,34.52,"28,540","34,650","42,950","55,710","71,810",,
1358,53-7031,dredge operators,detailed,"1,410",27.8,22.28,"46,340",3.2,14.07,16.9,20.78,25.67,31.53,"29,270","35,150","43,230","53,380","65,580",,
1359,53-7032,excavating and loading machine and dragline operators,detailed,"45,450",2.3,22.49,"46,780",0.8,13.64,16.57,20.43,26.47,34.55,"28,360","34,470","42,500","55,070","71,860",,
1360,53-7033,"loading machine operators, underground mining",detailed,"2,340",12.3,24.89,"51,780",2.5,15.74,19.22,25.2,29.79,34.93,"32,730","39,990","52,420","61,970","72,650",,
1361,53-7040,hoist and winch operators,broad,"3,080",9.6,26.4,"54,910",6.5,13.43,16.02,20.77,32.04,53.51,"27,930","33,320","43,210","66,640","111,290",,
1363,53-7050,industrial truck and tractor operators,broad,"570,300",1.1,17,"35,370",0.3,11.38,13.35,16.17,19.69,24.04,"23,680","27,760","33,630","40,960","50,010",,
1365,53-7060,"laborers and material movers, hand",broad,"3,859,520",0.6,13.73,"28,550",0.2,9.22,10.4,12.35,15.81,20.13,"19,170","21,630","25,680","32,890","41,860",,
1366,53-7061,cleaners of vehicles and equipment,detailed,"373,290",1.1,12.39,"25,770",0.7,8.71,9.69,11.23,13.84,17.87,"18,130","20,160","23,360","28,790","37,170",,
1367,53-7062,"laborers and freight, stock, and material movers, hand",detailed,"2,711,320",0.7,14.28,"29,690",0.2,9.55,10.79,13,16.7,21.17,"19,870","22,450","27,040","34,730","44,030",,
1368,53-7063,machine feeders and offbearers,detailed,"74,350",2.8,14.76,"30,710",0.7,9.78,11.13,13.7,17.7,22.02,"20,340","23,140","28,510","36,820","45,810",,
1369,53-7064,"packers and packagers, hand",detailed,"700,560",1.9,12.22,"25,410",0.4,8.81,9.71,11.27,13.78,17.53,"18,320","20,190","23,430","28,660","36,470",,
1370,53-7070,pumping station operators,broad,"26,260",4.6,24.84,"51,660",1.2,14.12,17.64,24.16,31.06,37.43,"29,360","36,690","50,250","64,600","77,860",,
1371,53-7071,gas compressor and gas pumping station operators,detailed,"3,560",6.9,29.79,"61,960",1.3,20.19,25.4,30.2,35.08,38.67,"42,000","52,820","62,810","72,960","80,430",,
1372,53-7072,"pump operators, except wellhead pumpers",detailed,"11,500",9,22.62,"47,040",1.8,13.36,16.07,20.91,28.38,35.46,"27,780","33,420","43,500","59,020","73,770",,
1373,53-7073,wellhead pumpers,detailed,"11,200",5.2,25.54,"53,120",1.8,14.7,18.29,25.13,31.45,38.03,"30,570","38,040","52,260","65,420","79,110",,
1374,53-7080,refuse and recyclable material collectors,broad,"115,130",1.6,18.71,"38,920",1.1,10.3,13.12,17.39,22.9,30.15,"21,420","27,300","36,160","47,640","62,720",,
1376,53-7110,mine shuttle car operators,broad,"1,550",7.5,27.17,"56,510",1.5,21.28,24.24,27.35,29.99,32.16,"44,260","50,410","56,890","62,390","66,890",,
1378,53-7120,"tank car, truck, and ship loaders",broad,"10,300",13.1,19.37,"40,290",2.5,11.39,13.83,17.72,22.93,31.82,"23,700","28,770","36,860","47,690","66,180",,
1380,53-7190,miscellaneous material moving workers,broad,"25,990",4,17.13,"35,620",1.7,10.36,11.48,14.23,21.15,28.39,"21,540","23,880","29,610","43,980","59,050",,
1381,53-7199,"material moving workers, all other",detailed,"25,990",4,17.13,"35,620",1.7,10.36,11.48,14.23,21.15,28.39,"21,540","23,880","29,610","43,980","59,050",,
